ETF,Underlying,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_quality,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_price_ref,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expense_ratio_annual,net_decay_annual,asof_date,product_class,primary_edge_annual,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,schema_v,edge_sign_convention,bucket,execution_eligible
LMTL,LMT,False,,letf_long,1.99383,ok,-0.11913,50000.0,-0.11913,False,32.43370056152344,0.527573,0.175409,0.264603,0.0107,0.054624416666666675,2026-09-15,letf,0.054624416666666675,-0.028512745286035597,0.0278296180991845,0.06726386704679058,0.11416714593533209,0.18002133715602506,0.119424,0.05598500000000001,,,2,short_favorable_positive,bucket_1,True
METU,META,False,,letf_long,1.997219,ok,-0.008945,25000.0,-0.008945,False,26.84000015258789,0.774044,0.243978,0.387771,0.0102,0.2349087638888889,2026-09-15,letf,0.2349087638888889,0.16233088380727398,0.1865047783577949,0.20231539498401446,0.21770972206570943,0.24366824012977104,0.19943,0.044548000000000004,,,2,short_favorable_positive,bucket_1,True
MRVU,MRVL,False,,letf_long,1.998943,ok,-0.015711,100000.0,-0.015711,False,104.94000244140625,1.758053,0.878151,0.72029,0.0097,0.8622217916666667,2026-09-15,letf,0.8622217916666667,0.29054220807749015,0.4284745642294893,0.5210482918354886,0.6227587398025847,0.8241084196819506,0.567254,0.310897,,,2,short_favorable_positive,bucket_1,True
MSFU,MSFT,False,,letf_long,1.993362,ok,-0.010299,600000.0,-0.010299,False,37.43000030517578,0.549323,0.170542,0.275725,0.0098,0.16009995833333332,2026-09-15,letf,0.16009995833333332,0.08071742233546753,0.0990658455467136,0.1138541463378731,0.13078433568071374,0.157299104780727,0.124406,0.046135999999999996,,,2,short_favorable_positive,bucket_1,True
MUU,MU,False,,letf_long,1.989172,ok,-0.012988,90000.0,-0.012988,False,28.299999237060547,1.595797,0.638848,0.802242,0.0101,0.625679611111111,2026-09-15,letf,0.625679611111111,0.5628916460781304,0.6190575557316632,0.6591895757735019,0.7125262852724239,0.7786247279775783,0.682448,-0.04360000000000008,,,2,short_favorable_positive,bucket_1,True
NFXL,NFLX,False,,letf_long,2.000372,ok,-0.002755,250000.0,-0.002755,False,17.649999618530273,0.696607,0.231872,0.348239,0.0105,0.2290787361111111,2026-09-15,letf,0.2290787361111111,0.13208887556080803,0.1588777336708329,0.17644690332949364,0.19766779785027294,0.2314669379052139,0.171453,0.060419,,,2,short_favorable_positive,bucket_1,True
NVDU,NVDA,False,,letf_long,1.99626,ok,0.006459,15000.0,0.006459,False,127.08999633789062,0.742259,0.286731,0.372587,0.0092,0.29327970833333333,2026-09-15,letf,0.29327970833333333,0.139225716404985,0.17228596876573468,0.19327845972307736,0.21337255160630436,0.2522393565710333,0.186695,0.10003600000000001,,,2,short_favorable_positive,bucket_1,True
ORCU,ORCL,False,,letf_long,1.99994,ok,0.001602,700000.0,0.001602,False,6.980000019073486,1.173472,0.464923,0.567575,0.0097,0.46654724999999997,2026-09-15,letf,0.46654724999999997,0.24846227520042377,0.31652630421309585,0.36922500399503966,0.4248058426220156,0.5059223760781514,0.37141,0.09351299999999996,,,2,short_favorable_positive,bucket_1,True
PALU,PANW,False,,letf_long,1.997007,ok,-0.11363,85000.0,-0.11363,False,56.5,0.9115,0.296771,0.455493,0.0108,0.18156280555555557,2026-09-15,letf,0.18156280555555557,0.06890881579100938,0.11796144158831892,0.1419126154120775,0.16343283040486206,0.19755335298076304,0.256825,0.03994599999999998,,,2,short_favorable_positive,bucket_1,True
PLTU,PLTR,False,,letf_long,1.989425,ok,0.00025,200000.0,0.00025,False,48.380001068115234,1.064608,0.481499,0.534842,0.0097,0.48175247222222223,2026-09-15,letf,0.48175247222222223,0.24301827211747118,0.293028720457129,0.3283642911627639,0.37265040792088877,0.43138632457978976,0.330416,0.15108300000000002,,,2,short_favorable_positive,bucket_1,True
QCMU,QCOM,False,,letf_long,2.002298,ok,-0.006625,150000.0,-0.006625,False,24.239999771118164,1.027522,0.352613,0.513171,0.0107,0.3458959861111111,2026-09-15,letf,0.3458959861111111,0.19023964100222426,0.25118599225346105,0.30317705506259146,0.351021218257044,0.4335506025542755,0.314644,0.03796900000000003,,,2,short_favorable_positive,bucket_1,True
SHPU,SHOP,False,,letf_long,2.001533,ok,-0.060836,100000.0,-0.060836,False,13.010000228881836,1.126938,0.403185,0.563037,0.0109,0.3415040555555556,2026-09-15,letf,0.3415040555555556,0.22473553879153002,0.2738659403829141,0.3110906549674607,0.3515634015726968,0.4075650848960862,0.368301,0.034884000000000026,,,2,short_favorable_positive,bucket_1,True
SOFA,SOFI,False,,letf_long,1.996959,ok,-0.024066,60000.0,-0.024066,False,12.437199592590332,1.026403,0.410906,0.555697,0.0097,0.38650575,2026-09-15,letf,0.38650575,0.19328488792001994,0.2730911235204241,0.32967917832822785,0.3903785804897001,0.48024946595121426,0.356572,0.05433399999999999,,,2,short_favorable_positive,bucket_1,True
TSLL,TSLA,False,,letf_long,1.994113,ok,-0.029794,9400000.0,-0.029794,False,9.25,0.888598,0.44332,0.445333,0.0083,0.4131121944444444,2026-09-15,letf,0.4131121944444444,0.16111019717921332,0.20228504014005386,0.23357304790552363,0.2670061327295084,0.31380753312289694,0.244241,0.19907899999999998,,,2,short_favorable_positive,bucket_1,True
TSMX,TSM,False,,letf_long,1.994704,ok,0.002014,500000.0,0.002014,False,74.63999938964844,0.803418,0.283021,0.402932,0.0099,0.28506297222222227,2026-09-15,letf,0.28506297222222227,0.16130209028890133,0.19007679246218828,0.21141564528770865,0.22966488992770834,0.25468998450596014,0.210357,0.07266400000000003,,,2,short_favorable_positive,bucket_1,True
